time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-19T17:44:07.840Z,37.7931667,-121.9626667,7.05,1.12,md,15,99,0.06973,0.05,nc,nc72540540,2015-10-20T23:35:44.720Z,"1km NE of San Ramon, California",earthquake
2015-10-19T17:22:29.490Z,37.7895012,-121.9683304,8.15,1.42,md,10,99,0.07969,0.04,nc,nc72540525,2015-10-19T17:24:07.080Z,"1km NE of San Ramon, California",earthquake
2015-10-19T16:36:12.730Z,37.7939987,-121.9663315,6.94,2.11,md,16,77,0.068,0.04,nc,nc72540500,2015-10-19T18:06:54.237Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T16:35:59.550Z,37.7953339,-121.9718323,6.75,1.64,md,12,97,0.06551,0.03,nc,nc72540495,2015-10-19T16:37:35.880Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T16:17:40.420Z,37.7931671,-121.9688339,6.58,2.24,md,24,56,0.06822,0.11,nc,nc72540480,2015-10-21T14:45:47.191Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T15:29:38.710Z,37.795166,-121.9629974,6.9,1.56,md,10,98,0.06776,0.03,nc,nc72540470,2015-10-19T15:31:15.800Z,"2km NE of San Ramon, California",earthquake
2015-10-19T14:05:50.350Z,37.7895,-121.9645,8.86,1.09,md,11,98,0.07272,0.04,nc,nc72540445,2015-10-22T03:37:44.310Z,"1km NE of San Ramon, California",earthquake
2015-10-19T12:19:34.780Z,37.7890015,-122.5923309,9.19,1.2,md,9,199,0.0932,0.02,nc,nc72540430,2015-10-19T12:21:11.290Z,"11km SSW of Tamalpais-Homestead Valley, California",earthquake
2015-10-19T10:06:35.070Z,37.7838326,-121.9596634,8.31,1.34,md,10,105,0.0793,0.07,nc,nc72540410,2015-10-19T10:08:10.910Z,"1km ENE of San Ramon, California",earthquake
2015-10-19T09:21:18.840Z,37.8668327,-122.2438354,9.62,1.62,md,30,56,0.00809,0.04,nc,nc72540405,2015-10-19T09:22:57.870Z,"2km ESE of Berkeley, California",earthquake
2015-10-19T09:20:20.050Z,37.8661652,-122.2431641,9.51,1.82,md,35,50,0.00874,0.04,nc,nc72540400,2015-10-19T09:23:19.700Z,"2km ESE of Berkeley, California",earthquake
2015-10-19T08:03:24.570Z,37.7885017,-121.958168,8.68,1.97,md,19,58,0.07534,0.06,nc,nc72540365,2015-10-19T23:14:49.128Z,"1km ENE of San Ramon, California",earthquake
2015-10-19T06:55:41.860Z,37.7923317,-121.9608307,9.09,2.06,md,29,82,0.07101,0.07,nc,nc72540335,2015-10-19T22:36:07.762Z,"2km NE of San Ramon, California",earthquake
2015-10-19T06:50:28.920Z,37.7803345,-121.961998,7.68,1.5,md,8,105,0.08204,0.05,nc,nc72540330,2015-10-19T06:52:06.150Z,"1km E of San Ramon, California",earthquake
